TOPIC;TOPIC_CLASS
Water Cooled;TECH
Fast Spectrum;TECH
Micro;TECH
Molten Salt;TECH
Gas cooled;TECH
Land-based;TECH
Marine-based;TECH
Mobile;TECH
Multi-module;TECH
Technology RDD;TECH
Safety and regulation;FRAMEWORK
Policy;FRAMEWORK
Infrastructure;FRAMEWORK
Public Engagement;FRAMEWORK
Front-end of the fuel cycle;FRAMEWORK
Legal;FRAMEWORK
Back-end of the fuel cycle;FRAMEWORK
Talent pipeline;FRAMEWORK
Economics and Financing;FRAMEWORK
Supply Chain;FRAMEWORK
On-grid;APPLICATION
Off-grid;APPLICATION
Heat;APPLICATION
Hydrogen and synfuels;APPLICATION
Merchant shipping ;APPLICATION